DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210905352,02/04/2021 12:00:00 AM,01/01/2020 12:00:00 AM,1,9,Van Nuys,991,2,354,THEFT OF IDENTITY,0377 1822 1202 1501,59,M,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,354,,,,4000    BEVERLY GLEN                 BL,,34.1389,-118.4611
201504047,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,500,15,N Hollywood,1583,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416,24,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4000    TUJUNGA                      AV,,34.1451,-118.3875
200904035,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,230,9,Van Nuys,971,1,330,BURGLARY FROM VEHICLE,344,32,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,4600 N  SEPULVEDA                    BL,,34.1538,-118.4662
200120415,11/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,130,1,Central,157,1,210,ROBBERY,0416 0344 1218 0377 1822 2033,55,M,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5TH,TOWNE,34.043,-118.242
201506599,02/21/2020 12:00:00 AM,01/01/2020 12:00:00 AM,800,15,N Hollywood,1581,2,354,THEFT OF IDENTITY,1822,72,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4200    VANTAGE                      AV,,34.1467,-118.3976
201004741,01/18/2020 12:00:00 AM,01/01/2020 12:00:00 AM,600,10,West Valley,1015,2,354,THEFT OF IDENTITY,0377 1822,46,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7500    LINDLEY                      AV,,34.2066,-118.5273
201304024,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,215,13,Newton,1321,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1312 1822 0371 1309 1310 0334 0302 0430 0906 1100,30,F,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,22ND                         ST,MAPLE,34.0289,-118.2686
200404021,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2000,4,Hollenbeck,461,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0371 0430 0334 1407 0906 1822,52,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,998,,,100 S  PECAN                        ST,,34.0474,-118.2217
200104055,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2020,1,Central,127,1,210,ROBBERY,0910 0429 0344 1822,24,M,H,902,MTA - RED LINE - PERSHING SQUARE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,JUDGE JOHN A,TEMPLE,34.0527,-118.2398
201513279,07/29/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1,15,N Hollywood,1583,1,480,BIKE - STOLEN,344,32,F,O,120,STORAGE SHED,,,IC,Invest Cont,480,,,,4000    RADFORD                      AV,,34.1442,-118.3928
211713960,10/21/2021 12:00:00 AM,01/01/2021 12:00:00 AM,1,17,Devonshire,1782,2,354,THEFT OF IDENTITY,928,25,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,354,,,,19400    PARTHENIA                    ST,,34.2312,-118.5632
230314045,07/17/2023 12:00:00 AM,01/01/2021 12:00:00 AM,1,3,Southwest,312,2,354,THEFT OF IDENTITY,0100 1822 1501,53,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2700 S  SYCAMORE                     AV,,34.0313,-118.3547
210804052,01/02/2021 12:00:00 AM,01/01/2021 12:00:00 AM,600,8,West LA,832,1,480,BIKE - STOLEN,1822 0397 1420 1202 0344 1602 0202,30,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,900    GRANVILLE                    AV,,34.0516,-118.4663
211504126,01/02/2021 12:00:00 AM,01/01/2021 12:00:00 AM,1915,15,N Hollywood,1595,1,330,BURGLARY FROM VEHICLE,0321 0344 1609,42,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,11200    LAURIE                       DR,,34.1357,-118.3746
210810309,06/11/2021 12:00:00 AM,01/01/2021 12:00:00 AM,1200,8,West LA,849,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,29,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,1100 S  SHENANDOAH                   ST,,34.0548,-118.3816
211304064,01/02/2021 12:00:00 AM,01/01/2021 12:00:00 AM,1715,13,Newton,1367,2,624,BATTERY - SIMPLE ASSAULT,416,35,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1500 E  50TH                         ST,,33.9975,-118.2472
211204009,01/01/2021 12:00:00 AM,01/01/2021 12:00:00 AM,400,12,77th Street,1233,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1300,24,M,B,104,DRIVEWAY,,,IC,Invest Cont,341,,,,5900 S  ST ANDREWS                   PL,,33.9862,-118.3111
210304070,01/02/2021 12:00:00 AM,01/01/2021 12:00:00 AM,2030,3,Southwest,356,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 1822 0344 0385 1300 1202,66,M,H,101,STREET,,,IC,Invest Cont,420,,,,1600 W  37TH                         PL,,34.02,-118.3072
210916435,11/12/2021 12:00:00 AM,01/01/2021 12:00:00 AM,1,9,Van Nuys,985,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,31,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,4300    BEVERLY GLEN                 BL,,34.1486,-118.4463
211200504,01/02/2021 12:00:00 AM,01/01/2021 12:00:00 AM,2300,12,77th Street,1267,1,330,BURGLARY FROM VEHICLE,1300 1609 0344 1822 0329,23,M,B,101,STREET,,,IC,Invest Cont,330,,,,900 W  85TH                         ST,,33.9613,-118.2883
210704003,01/01/2021 12:00:00 AM,01/01/2021 12:00:00 AM,145,7,Wilshire,732,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 2037 1822,28,M,B,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,230,998,,,6300    MARYLAND                     DR,,34.0669,-118.3647
221404144,01/02/2022 12:00:00 AM,01/01/2022 12:00:00 AM,1600,14,Pacific,1465,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,58,M,W,101,STREET,,,IC,Invest Cont,740,,,,5300    INGLEWOOD                    BL,,33.987,-118.4089
221004041,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,600,10,West Valley,1024,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 2038 0329,32,M,H,104,DRIVEWAY,,,AO,Adult Other,740,900,,,6800    BAIRD                        AV,,34.1939,-118.5373
220911441,07/15/2022 12:00:00 AM,01/01/2022 12:00:00 AM,800,9,Van Nuys,904,2,354,THEFT OF IDENTITY,0377 1822,48,F,H,101,STREET,,,AA,Adult Arrest,354,,,,14800    SATICOY                      ST,,34.2084,-118.4599
231812766,06/30/2023 12:00:00 AM,01/01/2022 12:00:00 AM,1200,18,Southeast,1881,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1702 0344 1202 2021,88,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,15400 S  MENLO                        AV,,33.8911,-118.2895
220404016,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,1815,4,Hollenbeck,479,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1407 0430 0305 1100 0906,32,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,230,998,,,3600 E  WHITTIER                     BL,,34.0256,-118.1961
220916119,11/14/2022 12:00:00 AM,01/01/2022 12:00:00 AM,1,9,Van Nuys,923,2,354,THEFT OF IDENTITY,930,38,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14900    KITTRIDGE                    ST,,34.1904,-118.4574
220704194,01/06/2022 12:00:00 AM,01/01/2022 12:00:00 AM,2200,7,Wilshire,721,1,330,BURGLARY FROM VEHICLE,1300 1307 0344 1822,31,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,400 S  SHERBOURNE                   DR,,34.0721,-118.3795
220604005,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,130,6,Hollywood,645,1,210,ROBBERY,0400 0416 0344 0377 1822 0605 1414 1310 1312 1302,22,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,MCCADDEN                     PL,FRANKLIN                     PL,34.1006,-118.3417
221504038,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,1640,15,N Hollywood,1535,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344,77,F,W,108,PARKING LOT,,,IC,Invest Cont,420,,,,5800    LANKERSHIM                   BL,,34.1758,-118.3812
221804024,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,20,18,Southeast,1842,2,624,BATTERY - SIMPLE ASSAULT,1810 0913,52,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,200 E  110TH                        ST,,33.9357,-118.2715
220612146,06/23/2022 12:00:00 AM,01/01/2022 12:00:00 AM,30,6,Hollywood,646,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0337 0421 1822 1501 1906 1912,42,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,1600    COSMO                        ST,,34.0998,-118.3288
221600521,01/02/2022 12:00:00 AM,01/01/2022 12:00:00 AM,200,16,Foothill,1663,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 0411 1402,54,M,H,108,PARKING LOT,207,OTHER KNIFE,JA,Juv Arrest,230,998,,,12000    SHELDON                      ST,,34.2393,-118.3937
231504132,01/04/2023 12:00:00 AM,01/01/2022 12:00:00 AM,1200,15,N Hollywood,1532,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416,17,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,626,,,,6300    WHITSETT                     AV,,34.1849,-118.4053
231006778,03/13/2023 12:00:00 AM,01/01/2022 12:00:00 AM,1200,10,West Valley,1006,2,354,THEFT OF IDENTITY,1822 0929,46,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17400    ARMINTA                      ST,,34.2142,-118.5118
220704132,01/04/2022 12:00:00 AM,01/01/2022 12:00:00 AM,1215,7,Wilshire,759,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,26,F,J,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,440,,,,4000 W  PICO                         BL,,34.0495,-118.3215
221005144,02/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,1525,10,West Valley,1033,2,354,THEFT OF IDENTITY,1822 0929,40,F,B,602,BANK,,,IC,Invest Cont,354,,,,6400    RESEDA                       BL,,34.1847,-118.5441
231704083,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,700,17,Devonshire,1791,2,888,TRESPASSING,1202 0216,62,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,20500    SCHOENBORN                   ST,,34.221,-118.5798
230704980,01/23/2023 12:00:00 AM,01/01/2023 12:00:00 AM,100,7,Wilshire,711,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000 0446 0913 1814,18,F,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,LA CIENEGA,BEVERLY                      BL,34.0761,-118.3766
231104295,01/09/2023 12:00:00 AM,01/01/2023 12:00:00 AM,1600,11,Northeast,1113,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 0344,45,F,J,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331,,,,2700    ROCK GLEN                    AV,,34.1402,-118.2229
232004044,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,1040,20,Olympic,2069,2,624,BATTERY - SIMPLE ASSAULT,1822 0416,45,F,H,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1000 S  HOOVER                       ST,,34.0499,-118.2879
230904039,01/02/2023 12:00:00 AM,01/01/2023 12:00:00 AM,2320,9,Van Nuys,963,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1609 0329,41,M,H,719,MEDICAL/DENTAL OFFICES,,,IC,Invest Cont,740,,,,4900    VAN NUYS                     BL,,34.1594,-118.4487
231404053,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,830,14,Pacific,1446,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0356 0444 2000,23,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,3900    GRAND VIEW                   BL,,34.0027,-118.4295
230104027,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,30,1,Central,119,2,624,BATTERY - SIMPLE ASSAULT,0416 0910 1822,24,F,W,834,LA UNION STATION (NOT LINE SPECIFIC),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
230504131,01/03/2023 12:00:00 AM,01/01/2023 12:00:00 AM,36,5,Harbor,585,2,354,THEFT OF IDENTITY,922,45,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2200 S  CABRILLO                     AV,,33.7243,-118.2946
231204052,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,1800,12,77th Street,1263,2,624,BATTERY - SIMPLE ASSAULT,0913 1810 0400 0416,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1600 W  80TH                         ST,,33.9664,-118.3046
230804360,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,1630,8,West LA,831,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0407 0913 2000 1814 0400 0417,40,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,11900    WILSHIRE                     BL,,34.0473,-118.4768
230404042,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,5,4,Hollenbeck,497,2,354,THEFT OF IDENTITY,100,55,M,F,404,DEPARTMENT STORE,,,IC,Invest Cont,354,,,,2800 E  OLYMPIC                      BL,,34.0234,-118.2177
202004150,01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2124,20,Olympic,2026,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0337 1912,23,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,940,,,300 S  NEW HAMPSHIRE                AV,,34.0691,-118.2929
201317883,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1525,13,Newton,1313,2,624,BATTERY - SIMPLE ASSAULT,1202 1266 0416,65,M,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,400 E  WASHINGTON                   BL,,34.0289,-118.2602
200105035,01/15/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1915,1,Central,139,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202 1822 0394 1414,60,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,900 E  3RD                          ST,,34.0459,-118.2351
200804320,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2000,8,West LA,838,1,330,BURGLARY FROM VEHICLE,1822 0344 1607,29,M,C,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,330,,,,WEYBURN                      AV,VETERAN                      AV,34.0614,-118.4507
200704100,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1000,7,Wilshire,705,2,624,BATTERY - SIMPLE ASSAULT,0400 1402,32,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,998,,,MELROSE,LA BREA,34.0835,-118.3441
201404235,01/04/2020 12:00:00 AM,01/02/2020 12:00:00 AM,900,14,Pacific,1416,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,46,M,W,101,STREET,,,IC,Invest Cont,740,,,,12600    ROSE                         AV,,34.0132,-118.445
210804683,01/02/2021 12:00:00 AM,01/02/2021 12:00:00 AM,1940,8,West LA,855,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813,70,F,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,10800    SANTA MONICA                 BL,,34.0492,-118.4394
210604845,01/05/2021 12:00:00 AM,01/02/2021 12:00:00 AM,900,6,Hollywood,643,1,330,BURGLARY FROM VEHICLE,1300 0344 1822,51,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,1600 N  FORMOSA                      AV,,34.0998,-118.3468
211500505,01/02/2021 12:00:00 AM,01/02/2021 12:00:00 AM,2115,15,N Hollywood,1591,1,761,BRANDISH WEAPON,0334 0421 1822 1402 2004,48,M,B,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,761,,,,VENTURA,LAUREL CANYON,34.1436,-118.3953
210404046,01/02/2021 12:00:00 AM,01/02/2021 12:00:00 AM,1300,4,Hollenbeck,463,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0913 0444 0305 0446,20,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,2000    MICHIGAN                     AV,,34.0469,-118.2131
211804279,01/06/2021 12:00:00 AM,01/02/2021 12:00:00 AM,1124,18,Southeast,1851,2,354,THEFT OF IDENTITY,0100 1822 0344 0929,31,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,700 W  EL SEGUNDO                   BL,,33.9164,-118.2874
210804083,01/03/2021 12:00:00 AM,01/02/2021 12:00:00 AM,2030,8,West LA,842,1,330,BURGLARY FROM VEHICLE,0344 1822,30,M,A,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,11700    OHIO                         AV,,34.0465,-118.4588
210404760,01/21/2021 12:00:00 AM,01/02/2021 12:00:00 AM,1830,4,Hollenbeck,438,1,210,ROBBERY,1202 1822 0400 0448 0429 0344,62,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,WARWICK,ALHAMBRA                     PL,34.0785,-118.1661
210204065,01/02/2021 12:00:00 AM,01/02/2021 12:00:00 AM,1950,2,Rampart,215,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1300 0913 1814 0416 0446 1310 2004 0429 0340,30,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,TEMPLE,DILLON                       ST,34.0753,-118.2812
210604513,01/14/2021 12:00:00 AM,01/02/2021 12:00:00 AM,1215,6,Hollywood,622,1,310,BURGLARY,1822 0344,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310,,,,8000    HONEY                        DR,,34.1061,-118.367
211004073,01/02/2021 12:00:00 AM,01/02/2021 12:00:00 AM,1800,10,West Valley,1012,1,761,BRANDISH WEAPON,0906 1300 0913 1817 0334 2038,58,F,H,108,PARKING LOT,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761,,,,18800    SHERMAN                      WY,,34.2012,-118.5392
210904030,01/02/2021 12:00:00 AM,01/02/2021 12:00:00 AM,230,9,Van Nuys,911,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,64,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,6500 N  SEPULVEDA                    BL,,34.1885,-118.4662
210504101,01/03/2021 12:00:00 AM,01/02/2021 12:00:00 AM,2030,5,Harbor,587,1,330,BURGLARY FROM VEHICLE,0321 0344 1300 1601,50,M,W,101,STREET,,,IC,Invest Cont,330,,,,32ND,CAROLINA,33.7152,-118.2907
211304310,01/07/2021 12:00:00 AM,01/02/2021 12:00:00 AM,900,13,Newton,1323,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),344,36,M,H,116,OTHER/OUTSIDE,,,IC,Invest Cont,331,,,,E  22ND                         ST,STANFORD                     AV,34.0241,-118.2573
221704042,01/03/2022 12:00:00 AM,01/02/2022 12:00:00 AM,1700,17,Devonshire,1701,1,310,BURGLARY,344,39,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,11400    PORTER RANCH                 DR,,34.2756,-118.5701
221804649,01/05/2022 12:00:00 AM,01/02/2022 12:00:00 AM,102,18,Southeast,1834,2,354,THEFT OF IDENTITY,0930 1822,34,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,DENVER,GARDENA                      BL,33.9398,-118.2611
221704244,01/02/2022 12:00:00 AM,01/02/2022 12:00:00 AM,1823,17,Devonshire,1761,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1310 1822 1309 1501,23,M,H,101,STREET,307,VEHICLE,IC,Invest Cont,230,,,,OWENSMOUTH,LASSEN,34.25,-118.6017
220204505,01/11/2022 12:00:00 AM,01/02/2022 12:00:00 AM,2020,2,Rampart,269,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,30,M,Z,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,480,,,700 S  BIXEL                        ST,,34.0509,-118.2642
220104094,01/02/2022 12:00:00 AM,01/02/2022 12:00:00 AM,1635,1,Central,111,2,624,BATTERY - SIMPLE ASSAULT,2033 0342 1822 0416 0417 1218,33,M,H,152,UNDERPASS/BRIDGE*,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700 N  ALAMEDA                      ST,,34.0615,-118.2412
